film_id,clip_id,film_title,release_date,genres,mood,is_source_separataed,soundtrack_title,caption
AC,9,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Sunday Dinner,"A brass composition transitions to a string composition, ending with a classical orchestral piece."
AC,10,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",sad,N,Crossing the Stream,"A brass composition transitions to a synthesizer-based instrumental, ending with a piano and violin piece."
AC,11,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Pete Warns Teller,"A classical piece with strings and brass transitions to an instrumental with brass and violin, ending with a brass composition."
AC,12,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",peaceful,N,Prayer Sequence,"A classical double bass performance transitions to a horn composition with strings and timpani, ending with a piano and violin piece."
AC,13,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",sad,N,Meg Finds the Red House,"A brass composition transitions through two segments of instrumental pieces with percussion, harp, and French horn."
AC,14,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",sad,N,Megs Accident,"A French horn solo with orchestral accompaniment transitions to orchestral music with strings and brass, ending with a brass composition."
AC,15,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Teller and Nath Fight,"A symphonic piece with strings and timpani transitions to a cello solo with piano, ending with a French horn solo."
AC,16,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",sad,N,Who Was Jeanie,"A brass composition transitions to a classical orchestral piece with strings, ending with an instrumental featuring harp and French horn."
AC,17,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",sad,N,Ellen Goes to the Woods,"An instrumental with horn melody transitions to an opera performance with female singer, concluding with a French horn solo."
AC,18,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Petes Confession,"A brass composition transitions to a classical piece with strings and brass, ending with another brass composition."
AC,19,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Ride to the Red House and the Red House,"A piano-led instrumental transitions to an orchestral piece with violins and brass, ending with a classical piece featuring brass and timpani."
AC,20,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Petes Death and End Title,"A keyboard and cello instrumental transitions to a classical piece with strings and woodwinds, ending with an orchestral piece featuring strings and horn."
AD,0,My Favorite Brunette,1947-03-19,"Comedy, Crime, Mystery, Romance, Thriller",nervous,N,My Favorite Brunette,"A classical piece with female vocals transitions to a male vocal performance with piano, ending with a male vocal performance with instruments."
AE,0,The General,1926-12-25,"Action, Adventure, Comedy, Drama, War",happy,N,The Other Side (From The General),"A classical piece with harp and strings transitions to a chamber music piece with piano and bass guitar, ending with a synthesizer and woodwinds piece."
AE,1,The General,1926-12-25,"Action, Adventure, Comedy, Drama, War",nervous,N,Kidnapped (From The General),"A classical piece with strings and brass transitions to another classical piece with strings and woodwinds, ending with a tango-influenced piece with tuba and accordion."
AF,0,Sita Sings the Blues,2008-02-11,"Animation, Comedy, Fantasy, Musical, Romance",happy,N,Here We Are,"An electric guitar melody with male voice transitions to a rock song with female vocals, ending with a jazz piece featuring female vocals."
AG,0,Jack and the Beanstalk,1952-04-04,"Comedy, Family, Fantasy, Musical, Romance",nervous,Y,UNKNOWN,"A classical brass orchestra piece transitions to another brass orchestra piece, ending with a rock song featuring male vocals."
AH,0,My Man Godfrey,1936-09-01,"Comedy, Drama, Romance",peaceful,N,2 American Sketches Nocturne Two American Sketches Nocturne,"A theremin solo transitions to resonating bowl sounds, ending with a didgeridoo instrumental."
AH,1,My Man Godfrey,1936-09-01,"Comedy, Drama, Romance",happy,N,1st RECORDING OF Manhattan Serenade Nat Shilkret-Victor Salon Orch (1928),"A flute melody transitions to a classical cello and tuba piece, ending with an orchestral piece featuring violin, cello, and tuba."
AI,0,The Boy in the Plastic Bubble,1976-11-12,"Drama, Romance",peaceful,N,What Would They Say,"A classical trio performance transitions to a male vocal performance, ending with another male vocal performance with instruments."
AJ,0,The Little Princess,1939-02-21,"Comedy, Drama, Family, Musical",happy,N,Soldiers of the Queen,"A classical brass quintet piece transitions to a philharmonic orchestra performance, ending with a classical string and brass piece."
AJ,1,The Little Princess,1939-02-21,"Comedy, Drama, Family, Musical",peaceful,N,The Fantasy The Little Princess 1939 CC,"A xylophone melody transitions to a cello instrumental, ending with a classical string piece."
AK,0,The Flying Deuces,1939-11-03,"Comedy, Family, War",peaceful,N,Ernest Seitz (arr Lou Singer) The World is Waiting for the Sunrise,"A male vocal performance transitions to a classical cello piece, ending with a classical brass piece."
AL,0,Penny Serenade,1941-04-24,"Drama, Romance",happy,N,John McCormack Three OClock In The Morning Victor 66109 (1922) Dorothy Teriss-Julian Robledo song,"An instrumental with sliding sounds and bells transitions to a droning sound melody, ending with a gospel choir performance."
AL,1,Penny Serenade,1941-04-24,"Drama, Romance",peaceful,Y,UNKNOWN,"A didgeridoo instrumental transitions to a marimba melody, ending with a brass composition."
AL,2,Penny Serenade,1941-04-24,"Drama, Romance",peaceful,Y,UNKNOWN,"a soundtrack of brass section performances featuring trumpets, trombone, and tuba."
AL,3,Penny Serenade,1941-04-24,"Drama, Romance",peaceful,N,Edward MacDowell To a Wild Rose Op 51 No 1,A bell sound transitions to two consecutive segments of a piano cover of a glam metal piece.
AL,4,Penny Serenade,1941-04-24,"Drama, Romance",peaceful,N,You Were Meant For Me (1929) Conrad Nagel,"A xylophone and rattles performance transitions to a harp melody with male voice, ending with a male vocal performance."
AM,0,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,N,Cotton Fields Reprise,An acoustic guitar melody transitions to piano pieces with brass accompaniment.
AM,1,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,Y,UNKNOWN,Three consecutive segments of a classical orchestral piece featuring french horn and tubular bells.
AM,2,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Men in white,"A folk song with acoustic guitar transitions to another folk piece with guitar and flute, ending with a classical orchestral piece."
AM,3,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,End of war,"A classical tango piece with four saxophones transitions to a trombone piece with brass, ending with another saxophone quartet piece."
AM,4,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,End of Confederation,"A chamber music quintet transitions to a classical orchestral piece with strings and woodwinds, ending with another orchestral piece."
AM,5,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,N,The last battle,"A classical piece with brass and woodwinds transitions to a folk song with trombone and electric guitar, ending with a classical piece with trombone."
AM,6,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,N,Flora Cameron Reprise,A classical piece with trombone transitions to a pop song with male vocals for the first 20 seconds.
AM,7,The Birth of a Nation,1915-02-08,"Drama, History, War",sad,Y,UNKNOWN,Two consecutive segments of cello melody with piano accompaniment for the first 20 seconds.
AM,8,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,N,President,Three consecutive segments of a trombone melody with tuba and brass instruments.
AM,9,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,Y,UNKNOWN,"A classical orchestral piece with brass transitions to another orchestral piece with french horn, ending with a third orchestral piece with brass."
AM,10,The Birth of a Nation,1915-02-08,"Drama, History, War",peaceful,N,Benjamin Cameron,"A melody with reverb transitions to a recorder piece with strings, ending with a horn piece with orchestral accompaniment."
AM,11,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,N,Love Can Be Cruel,"A flute melody transitions to a pop song cover with male vocals, ending with a piano piece with bass."
AM,12,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Black Militia,"A classical piece with cello transitions to a clarinet-led instrumental, ending with an acoustic guitar melody."
AM,13,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Men in white,"A folk song with accordion transitions to a folk song with acoustic guitar, ending with a classical orchestral piece with saxophone and tuba."
AM,14,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Invisible Empire,A folk song with harp and flute transitions to piano pieces with violin and tuba accompaniment.
AM,15,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,Y,UNKNOWN,"A trombone piece with brass transitions to an acoustic guitar piece with flute, ending with another trombone and brass piece."
AM,16,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,Y,UNKNOWN,A piano melody with strings transitions to two orchestral pieces with brass and woodwinds.
AM,17,The Birth of a Nation,1915-02-08,"Drama, History, War",happy,N,I dont wanna lose more,An acoustic guitar melody transitions to two orchestral pieces with brass and woodwinds.
AM,18,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Arrest,A trombone with brass piece transitions to a violin instrumental for the first 20 seconds.
AM,19,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,We need help,A melodic piece with reverb transitions to classical pieces featuring violin and cello.
AM,20,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Indignity,A flute melody with acoustic guitar transitions to a horn piece with brass for the first 20 seconds.
AM,21,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,We need help,"An acoustic guitar melody transitions to another acoustic guitar piece, ending with an orchestral piece with brass and woodwinds."
AM,22,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Damsel in Distress,Three consecutive segments of classical pieces featuring saxophone quartet and french horn with tubular bells.
AM,23,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Trapped,"A piano and wind instrument piece transitions to a classical piece with violin, cello, and piano for the first 20 seconds."
AM,24,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Damsel in Distress,"A classical tango piece with saxophones transitions to an orchestral piece with french horn, ending with a classical piece featuring trombone and violin."
AM,25,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,Alone Reprise,"Three consecutive segments of orchestral performances featuring strings, woodwinds, brass, and percussion."
AM,26,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,Y,UNKNOWN,"A trombone and tuba piece transitions to an accordion and tuba piece, ending with a violin and cello piece."
AM,27,The Birth of a Nation,1915-02-08,"Drama, History, War",nervous,N,The New Grim Reaping,An accordion and cello piece transitions to orchestral pieces featuring strings and piano.
AN,0,Santa Fe Trail,1940-12-13,"Drama, War, Western",happy,Y,UNKNOWN,"A Greek folk piece with male vocals transitions to a classical piece with melodic pad, ending with a classical piece featuring male vocals."
AN,1,Santa Fe Trail,1940-12-13,"Drama, War, Western",happy,N,승리의찬가(The Battle Hymn of the Republic) - 서울c남성합창단  William Steffe,A male vocal piece with synth transitions to gospel songs with male vocals and instruments.
AN,2,Santa Fe Trail,1940-12-13,"Drama, War, Western",nervous,Y,UNKNOWN,A classical trombone piece transitions to orchestral pieces featuring brass sections.
AO,0,A Star Is Born,1937-04-20,"Drama, Romance",peaceful,Y,UNKNOWN,"A symphonic piece with trumpets and strings transitions to another orchestral piece, ending with a symphonic orchestra recording."
AO,1,A Star Is Born,1937-04-20,"Drama, Romance",happy,N,●{Arthur Schwartz}●  ♫♭♪  Dancing In The Dark  ♫♭♪  M-G-M Studio Orchestra wmv,"An instrumental with horn transitions to a synthesizer-based piece, ending with a classical orchestral piece."
AO,2,A Star Is Born,1937-04-20,"Drama, Romance",nervous,Y,UNKNOWN,A classical brass piece transitions to two symphonic orchestra recordings.
AP,0,Tormented,1960-09-22,"Horror, Thriller",happy,Y,UNKNOWN,Three consecutive segments of orchestral performances featuring brass and percussion.
AP,1,Tormented,1960-09-22,"Horror, Thriller",nervous,N,Nightmare,"A jazz performance with saxophone transitions to another jazz piece, ending with an orchestral piece."
AP,2,Tormented,1960-09-22,"Horror, Thriller",nervous,N,Vis Watch  Whos in the Lighthouse,"Three consecutive segments of orchestral performances featuring brass, strings, and woodwinds."
AP,3,Tormented,1960-09-22,"Horror, Thriller",nervous,Y,UNKNOWN,"A classical march piece transitions to another march piece, ending with a synthesizer-based piece."
AP,4,Tormented,1960-09-22,"Horror, Thriller",nervous,N,Mrs Ellis Talks to the Dead,"Three consecutive segments of orchestral performances featuring brass, strings, and woodwinds."
AP,5,Tormented,1960-09-22,"Horror, Thriller",happy,Y,UNKNOWN,"An instrumental piece that transitions from piano harmony to piano with bass guitar, and finally to a brass orchestra featuring trombone and tuba."
AP,6,Tormented,1960-09-22,"Horror, Thriller",happy,N,Perfume by Arpege,"A classical piece performed by brass and cello, followed by clarinet and upright bass with drums, concluding with a live orchestral performance."
AP,7,Tormented,1960-09-22,"Horror, Thriller",nervous,Y,UNKNOWN,"The piece moves from a marimba melody to electronic keyboard, ending with electronic keyboard and cello."
AP,8,Tormented,1960-09-22,"Horror, Thriller",nervous,Y,UNKNOWN,"A cello solo transitions to electronic keyboard, and concludes with a trio featuring marimba, piano, and cello."
AP,9,Tormented,1960-09-22,"Horror, Thriller",nervous,N,Sandy in Danger  Toms End  End Titles,"A live classical performance featuring brass, strings, and percussion throughout its duration."
AQ,0,Creature from the Haunted Sea,1961-06-30,"Comedy, Horror",peaceful,Y,UNKNOWN,"The piece progresses from electronic keyboard with synthesizer to echoing drone sounds, ending with didgeridoo."
AR,0,Carnival of Souls,1962-09-26,"Horror, Mystery",peaceful,N,Carnival of Souls Organ Solo,"The music moves from sustained strings to flute with nature sounds, concluding with electronic synthesizer arrangements."
AR,1,Carnival of Souls,1962-09-26,"Horror, Mystery",nervous,N,Carnival of Souls Organ Solo,"A piece featuring sustained strings and woodwinds, followed by theremin solo, ending with flute melody and nature sounds."
AR,2,Carnival of Souls,1962-09-26,"Horror, Mystery",nervous,N,Carnival of Souls,A classical piece with brass and strings that concludes with violins and viola.
AR,3,Carnival of Souls,1962-09-26,"Horror, Mystery",nervous,N,Carnival of Souls Organ Solo,"The music transitions from flute melody to nature sounds, ending with an Arabic piece featuring clarinet, garmon, and bass guitar."
AS,0,Night of the Living Dead,1968-10-01,"Horror, Thriller",nervous,N,NIGHT OF THE LIVING DEAD (Title Sequence) [EERIE HEAVY ECHO (L-1204)]) (1968 - Image Ten),"An instrumental that moves from cello harmony to string section, concluding with woodwinds melody."
AS,1,Night of the Living Dead,1968-10-01,"Horror, Thriller",nervous,N,Night of the Living Dead Soundtrack 02 - At the Gravesite  Flight and Refuge,"The piece progresses from solo harpsichord to strings with woodwinds and percussion, ending with keyboard and percussive bass."
AS,2,Night of the Living Dead,1968-10-01,"Horror, Thriller",nervous,N,Night of the Living Dead Soundtrack 04 - Ghoulash (JRs Demise),"A piece featuring shimmering bells, followed by woodwinds with strings and brass, concluding with bagpipes."
AS,3,Night of the Living Dead,1968-10-01,"Horror, Thriller",nervous,N,Night of the Living Dead Soundtrack 06 - First Radio Report  Torch on the Porch,"The recording transitions from male vocals with bass guitar to didgeridoo, ending with male vocals and synth pad."
AS,4,Night of the Living Dead,1968-10-01,"Horror, Thriller",nervous,N,Night of the Living Dead Soundtrack 10 - TV Discovery  Preparing to Escape  Tom and Judy,"A live classical performance featuring cello, piano, and upright bass, followed by brass and woodwinds with percussion."
AS,5,Night of the Living Dead,1968-10-01,"Horror, Thriller",nervous,N,Night of the Living Dead Soundtrack 10 - TV Discovery  Preparing to Escape  Tom and Judy,"A classical piece moving from brass and percussion to strings with woodwinds, ending with strings, woodwind, and marimba."
AS,6,Night of the Living Dead,1968-10-01,"Horror, Thriller",nervous,N,Night of the Living Dead Soundtrack 12 - Truck on Fire  Ben and Harry,"The piece progresses from brass and saxophone with acoustic guitar to orchestral brass and timpani, concluding with symphonic strings and brass."
AT,0,I Bury the Living,1958-07-23,Horror,happy,N,Main Title (I Bury the Living soundtrack 1958 Gerald Fried),"A blues rock piece with male vocals, electric guitar, and keyboard transitions to harpsichord melodies."
AT,1,I Bury the Living,1958-07-23,Horror,nervous,N,Thinking It Over (I Bury the Living soundtrack 1958 Gerald Fried),"The music moves from woodwinds to marimba, concluding with electric guitar, drums, and bass."
AT,2,I Bury the Living,1958-07-23,Horror,nervous,N,Scratch Batch (I Bury the Living soundtrack 1958 Gerald Fried),"A horn melody transitions to strings with brass and percussion, ending with harpsichord."
AT,3,I Bury the Living,1958-07-23,Horror,nervous,N,Granite Gully (I Bury the Living soundtrack 1958 Gerald Fried),"The piece progresses from french horn to trumpet, concluding with traditional Altai instruments including drone strings and wind instruments."
AT,4,I Bury the Living,1958-07-23,Horror,sad,N,Quiet Kiss (I Bury the Living soundtrack 1958 Gerald Fried),"An instrumental featuring cello, piano, and violin transitions to percussion and French horn."
AT,5,I Bury the Living,1958-07-23,Horror,nervous,Y,UNKNOWN,"A droning melody transitions to marimba with clarinet and flute, ending with keyboard and synthesizer arrangements."
AT,6,I Bury the Living,1958-07-23,Horror,nervous,N,Bring Em Back Alive (I Bury the Living soundtrack 1958 Gerald Fried),"A harp melody moves to harpsichord performance, concluding with flute solo accompanied by violins, bass guitar, and drums."
AT,7,I Bury the Living,1958-07-23,Horror,nervous,Y,UNKNOWN,"The piece transitions from cello melody to strings and woodwinds, ending with a cello trio performance."
AT,8,I Bury the Living,1958-07-23,Horror,nervous,N,Cemetery (I Bury the Living soundtrack 1958 Gerald Fried),"A french horn piece moves to trombone and flute, concluding with male vocals, harmonica, bass, and percussion."
AU,0,A Bucket of Blood,1959-10-21,"Comedy, Crime, Horror",nervous,Y,UNKNOWN,"A piece featuring cello, clarinet, bass clarinet, and trombone transitions to rock arrangements with various instruments."
AV,0,White Zombie,1932-07-28,Horror,happy,N,WHITE ZOMBIE (Opening Sequence [CHANT]) (1932 - Halperin Productions),"The music moves from ukulele playing marimba to male vocals with acoustic guitar, ending with trombone and cymbals."
AV,1,White Zombie,1932-07-28,Horror,nervous,Y,UNKNOWN,"A recording featuring shoe tapping sounds transitions to woodwinds, concluding with synchronized brass and woodwinds."
AW,0,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",sad,Y,UNKNOWN,"An orchestral piece with brass transitions to violin and piano, ending with brass orchestra featuring trombone and tuba."
AW,1,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",happy,Y,UNKNOWN,"The piece moves from harmonica with double bass to classical arrangements, concluding with choir, strings, brass, and percussion."
AW,2,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",peaceful,Y,UNKNOWN,"An electric guitar piece transitions to harmonica with double bass, ending with male vocals and harmonica."
AW,3,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",nervous,Y,UNKNOWN,A classical march performed by brass orchestra transitions to symphonic orchestra performances.
AW,4,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",nervous,Y,UNKNOWN,"A live classical piece with woodwinds and strings moves to violin harmony, ending with flute melody."
AW,5,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",nervous,Y,UNKNOWN,"A symphonic orchestra recording transitions to dance music with choir, concluding with violin and brass section."
AW,6,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",nervous,N,The Hunchback of Notre Dame 1923 PART 2,"A gospel song with female vocals transitions to strings and woodwinds, ending with strings, woodwinds, and bass."
AW,7,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",nervous,Y,UNKNOWN,"An accordion piece transitions to bagpipe melodies, concluding with accordion melody."
AW,8,The Hunchback of Notre Dame,1923-09-02,"Drama, Horror, Romance",nervous,Y,UNKNOWN,"A folk song with strings transitions to bagpipes, ending with an Oud solo."
AX,0,At War with the Army,1950-12-31,"Comedy, Musical, War",nervous,Y,UNKNOWN,"A cello piece moves to symphonic orchestra, concluding with brass and drums."
AY,0,Made for Each Other,1939-02-10,"Comedy, Drama, Romance",peaceful,N,Made for Each Other,A consistent piece featuring piano and violin throughout all segments.
AZ,0,Lady of Burlesque,1943-05-01,"Comedy, Music, Mystery, Romance",nervous,Y,UNKNOWN,"An accordion with trombone and male vocals transitions to Afro-Cuban percussion, ending with dancehall/reggae featuring male vocals."
BA,0,Life with Father,1947-08-14,"Comedy, Family",happy,N,Breakfast With The Choir Vol 1 - Daddy Wouldnt Buy Me A Bow-Wow - By Joseph Tabrar,"An Arab male singer with instruments transitions to choir with tabla, ending with female vocals, flute, and percussion."
BA,1,Life with Father,1947-08-14,"Comedy, Family",happy,N,Loves Old Sweet Song (Just a Song at Twilight) J L Molloy,"A brass orchestra piece transitions to female choir, concluding with female solo and choir vocals."
BB,0,Love Affair,1939-03-16,"Comedy, Drama, Romance",happy,N,Seeburg 1000- Industrial N 15A 4-1-1964- A11- Wishing (Will Make It So) song by Buddy Desylva,"A trombone melody moves to tuba with piano, ending with clarinet and tuba."
BB,1,Love Affair,1939-03-16,"Comedy, Drama, Romance",happy,N,Martini  Plaisir damour - Urtext (Voice 26  High F Major),"A piano harmony transitions to acoustic piano melody, concluding with acoustic guitar."
BC,0,A Farewell to Arms,1932-12-08,"Drama, Romance, War",nervous,Y,UNKNOWN,"A keyboard harmony moves to droning melody, ending with drone sound effects."
BD,0,The Little Shop of Horrors,1960-08-05,"Comedy, Horror",nervous,Y,UNKNOWN,"A classical piece with strings and percussion transitions to woodwinds, concluding with electric guitar riff."
BE,0,Charade,1963-12-05,"Comedy, Mystery, Romance, Thriller",sad,N,Bye Bye Charlie,"A classical piece for violin, viola, and cello transitions to strings and woodwinds with marimba."
BE,1,Charade,1963-12-05,"Comedy, Mystery, Romance, Thriller",happy,Y,UNKNOWN,"A brass orchestra march transitions to harp performance, ending with brass, woodwinds, and percussion."
